Timestamp,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,Bin_28,Bin_29,Bin_30,Bin_31
2025-11-14 15:41:25.573,55,88,83,35,54,53,42,52,86,76,95,58,73,44,93,65,0,68,35,35,67,71,86,4,43,88,35,45,16,25,17,26
2025-11-14 15:41:26.574,77,16,68,30,65,38,77,36,76,70,49,67,54,83,77,7,42,62,7,52,37,59,22,79,34,81,90,12,36,49,51,67
2025-11-14 15:41:27.575,15,84,40,71,58,76,1,72,12,58,49,4,83,70,70,8,2,81,76,3,31,49,33,5,26,55,70,25,4,22,19,35
2025-11-14 15:41:28.576,78,55,23,24,74,43,13,31,31,75,32,64,21,43,89,60,68,58,6,32,8,44,84,25,6,62,27,88,17,82,54,27
2025-11-14 15:41:29.576,34,84,5,23,68,48,49,37,88,59,82,52,46,56,30,61,81,87,57,11,62,42,87,9,81,21,31,67,36,9,68,37
2025-11-14 15:41:30.577,39,64,33,19,83,62,50,73,34,91,41,51,75,70,81,78,89,39,74,30,53,50,49,19,35,60,90,42,85,19,48,79
2025-11-14 15:41:31.577,82,82,55,68,77,65,70,86,36,50,67,55,51,79,42,37,26,72,72,67,2,27,60,51,70,25,10,61,28,40,16,18
2025-11-14 15:41:32.578,82,90,41,73,28,46,42,69,83,63,22,5,39,6,49,5,83,11,57,46,56,0,19,61,14,29,29,37,18,70,61,31
2025-11-14 15:41:33.579,20,8,24,21,63,42,90,34,58,53,42,82,31,56,90,66,86,27,45,55,64,58,7,34,85,46,71,61,46,24,24,65
2025-11-14 15:41:34.580,28,27,45,30,82,0,84,10,1,42,8,51,8,21,59,67,25,25,82,23,17,36,28,25,4,24,33,88,61,34,85,63
2025-11-14 15:41:35.580,39,73,16,36,27,3,80,64,54,54,14,16,12,52,14,40,58,84,82,4,56,10,41,75,79,84,74,54,17,68,80,53
2025-11-14 15:41:36.581,68,75,13,15,87,17,4,87,70,65,85,16,18,50,50,62,87,72,1,22,28,45,31,53,41,11,0,22,62,26,65,55
2025-11-14 15:41:37.582,9,70,24,58,82,85,56,78,75,86,61,78,51,85,65,27,84,1,37,25,20,50,82,4,44,1,48,5,59,89,12,5
2025-11-14 15:41:38.583,23,30,20,27,53,82,77,49,4,35,64,24,4,42,85,74,21,5,29,27,23,10,32,29,90,52,32,8,63,22,1,83
2025-11-14 15:41:39.584,11,39,0,57,67,46,39,61,39,94,70,45,76,82,60,74,42,59,37,45,1,62,8,74,21,83,56,30,31,61,18,27
2025-11-14 15:41:40.584,26,73,40,63,82,76,8,34,42,88,45,35,86,62,69,5,80,70,69,44,88,57,32,35,85,52,29,12,32,74,53,64
2025-11-14 15:41:41.585,17,84,67,45,88,70,91,36,30,64,93,85,69,65,70,26,49,89,25,19,49,26,6,75,73,26,63,87,37,65,61,61
2025-11-14 15:41:42.585,76,48,4,67,52,63,67,73,37,81,45,91,78,68,74,37,1,72,5,48,12,89,8,87,84,68,51,75,47,30,51,59
2025-11-14 15:41:43.586,66,63,12,85,57,47,88,40,86,63,67,40,54,76,69,26,89,48,33,37,89,8,45,84,60,21,7,35,89,39,32,7
2025-11-14 15:41:44.587,42,52,80,34,83,19,81,42,7,67,56,51,23,2,86,10,33,64,64,89,56,50,53,4,72,86,37,66,86,90,78,43
2025-11-14 15:41:45.587,27,72,19,65,43,28,47,30,80,66,8,39,44,68,18,74,56,87,59,67,17,63,40,16,56,17,44,56,17,60,56,5
2025-11-14 15:41:46.588,30,83,84,10,85,51,89,64,73,45,75,43,37,95,35,77,9,11,24,1,48,68,15,70,57,72,57,63,21,48,14,0
2025-11-14 15:41:47.589,40,62,49,50,83,40,72,8,10,87,7,65,72,42,74,16,80,0,11,74,74,72,90,56,26,73,18,3,2,47,85,44
2025-11-14 15:41:48.589,84,72,41,87,36,72,79,46,35,33,43,46,83,53,78,60,56,44,90,38,41,41,13,77,51,59,89,67,22,27,73,26
