Timestamp,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,Bin_28,Bin_29,Bin_30,Bin_31
2025-11-28 14:10:10.058,61,26,39,46,81,62,63,62,67,67,40,76,47,82,70,22,75,23,64,36,75,53,18,89,71,60,82,78,52,59,51,59
2025-11-28 14:10:11.058,34,79,21,52,48,34,63,70,95,95,89,38,70,85,75,8,57,75,61,15,84,82,86,1,56,41,67,80,29,81,57,61
2025-11-28 14:10:12.059,23,76,56,7,66,31,95,34,72,53,55,83,94,35,57,24,35,5,71,3,33,14,68,21,9,66,37,60,7,60,42,4
2025-11-28 14:10:13.060,13,19,36,88,27,4,28,7,39,26,17,35,16,52,2,47,52,27,57,20,40,33,44,79,83,59,35,13,19,61,45,46
2025-11-28 14:10:14.060,23,22,20,14,32,82,30,69,33,30,95,78,35,87,65,85,61,82,57,3,61,5,27,60,17,26,50,32,16,32,28,29
2025-11-28 14:10:15.061,29,78,23,46,1,25,69,67,42,73,38,85,10,12,61,48,11,56,39,38,34,80,6,55,68,36,0,39,7,5,25,64
2025-11-28 14:10:16.062,60,72,86,35,43,84,70,36,44,61,45,79,33,54,64,82,25,19,60,80,64,86,25,48,4,1,45,76,88,75,90,83
2025-11-28 14:10:17.062,26,37,37,60,11,44,89,47,41,53,31,33,47,87,59,47,83,47,40,51,1,1,30,0,58,52,37,27,56,53,83,74
2025-11-28 14:10:18.063,27,83,5,5,68,38,80,72,47,90,67,94,36,83,74,72,28,79,22,56,73,28,72,3,44,39,11,16,13,24,10,75
2025-11-28 14:10:19.064,50,14,87,85,76,54,60,85,46,42,44,93,55,86,92,69,42,11,2,12,52,57,42,64,69,8,31,81,73,7,4,18
2025-11-28 14:10:20.064,62,90,7,69,94,76,38,38,37,71,34,81,62,38,59,82,49,53,17,16,36,11,6,74,73,51,14,71,49,27,44,89
2025-11-28 14:10:21.065,37,11,19,67,69,14,32,30,31,47,58,61,17,3,32,78,64,23,43,46,45,32,57,44,65,5,35,6,81,58,74,39
2025-11-28 14:10:22.065,87,36,26,14,88,20,6,22,83,39,41,71,86,41,37,24,10,36,40,74,34,81,74,3,70,70,10,11,25,8,37,70
2025-11-28 14:10:23.066,54,6,68,49,95,71,55,93,36,33,63,31,33,40,44,47,45,55,7,84,23,0,20,40,53,1,24,31,5,39,66,27
2025-11-28 14:10:24.066,31,71,3,48,46,6,43,67,22,0,76,0,35,28,60,66,41,88,84,19,67,50,82,36,84,67,76,22,31,23,48,47
2025-11-28 14:10:25.067,32,36,14,59,22,21,51,23,60,3,30,2,65,76,74,10,46,31,77,82,71,9,32,14,5,42,23,13,36,1,3,84
2025-11-28 14:10:26.068,61,63,1,52,65,44,86,60,91,95,46,37,82,95,87,64,38,19,41,0,50,47,26,29,11,88,44,88,80,2,5,14
2025-11-28 14:10:27.068,37,6,41,6,40,24,89,77,75,78,27,85,28,62,7,54,31,64,76,47,39,85,8,29,25,34,16,88,22,51,31,83
2025-11-28 14:10:28.069,39,14,49,14,3,64,25,60,4,25,28,46,58,10,34,85,67,27,60,18,84,7,8,4,75,63,17,53,45,37,8,26
2025-11-28 14:10:29.070,32,24,10,54,70,44,91,81,56,88,41,71,51,81,38,51,72,50,79,7,66,37,52,87,82,12,43,25,77,24,45,61
2025-11-28 14:10:30.070,55,69,42,53,22,5,48,79,28,66,56,3,46,45,30,55,30,38,56,70,11,82,69,19,78,64,81,51,26,1,83,24
2025-11-28 14:10:31.071,35,47,84,89,80,92,64,54,61,71,82,39,50,63,83,46,31,50,23,68,24,58,59,69,34,78,14,38,2,13,70,34
2025-11-28 14:10:32.071,28,17,33,75,79,62,81,79,59,30,9,9,23,84,32,31,84,84,36,55,48,68,23,16,17,88,56,64,85,23,50,71
