Timestamp,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,Bin_28,Bin_29,Bin_30,Bin_31
2025-11-28 13:55:49.837,65,89,5,36,67,72,62,92,71,48,84,94,95,31,50,45,76,19,64,36,34,28,50,12,88,85,67,54,61,83,41,5
2025-11-28 13:55:50.837,35,16,90,6,20,57,86,33,5,37,30,29,38,26,2,12,27,90,9,54,43,72,57,46,38,21,72,70,16,48,2,69
2025-11-28 13:55:51.838,66,62,28,57,42,20,66,41,55,50,55,86,11,18,79,66,16,72,63,29,42,27,7,50,56,64,81,39,87,57,39,20
2025-11-28 13:55:52.838,28,28,16,46,6,26,42,37,41,25,33,31,74,18,12,69,21,18,56,16,11,18,6,14,9,57,10,58,48,4,35,0
2025-11-28 13:55:53.839,41,41,67,20,83,73,52,91,71,85,32,36,95,30,56,26,78,8,10,81,81,21,88,37,69,69,89,36,76,45,1,9
2025-11-28 13:55:54.840,78,55,62,14,22,89,75,10,54,76,87,21,55,3,82,21,38,38,14,23,16,77,38,72,15,43,54,18,70,90,22,53
2025-11-28 13:55:55.840,72,13,6,38,59,51,78,34,39,81,89,46,57,62,86,51,5,75,80,5,23,23,29,61,29,58,48,63,31,56,53,27
2025-11-28 13:55:56.841,75,25,77,53,76,86,7,35,83,5,35,79,73,38,18,15,75,77,23,37,59,49,8,35,28,13,65,37,53,21,2,83
2025-11-28 13:55:57.842,81,77,39,87,86,1,50,79,87,67,39,52,52,13,54,31,39,56,11,1,84,7,17,90,47,89,85,3,47,64,61,2
2025-11-28 13:55:58.843,18,78,71,78,34,85,31,55,69,71,43,90,86,32,55,65,60,88,25,31,77,21,80,6,82,76,47,6,38,68,7,82
2025-11-28 13:55:59.843,76,21,63,55,81,41,91,37,54,94,69,54,84,38,90,41,31,41,15,31,9,49,79,59,78,87,86,6,19,39,24,37
2025-11-28 13:56:00.844,6,14,19,48,88,50,13,75,90,16,7,37,63,52,76,73,61,11,34,77,81,84,9,64,77,0,85,33,61,87,33,57
2025-11-28 13:56:01.844,61,46,47,16,21,65,27,79,23,5,56,88,30,38,51,47,72,28,47,69,55,69,58,19,74,49,88,46,81,78,42,70
2025-11-28 13:56:02.845,27,66,76,6,54,59,85,78,6,89,31,52,38,44,9,72,22,6,64,23,77,88,42,83,68,69,22,84,12,52,63,70
2025-11-28 13:56:03.845,18,7,69,62,49,81,36,85,11,34,86,38,87,5,57,67,65,86,74,2,41,81,44,54,64,69,81,68,40,68,34,73
2025-11-28 13:56:04.846,67,63,6,86,9,75,17,66,76,76,60,52,28,77,25,52,4,31,17,36,80,22,54,61,28,20,72,46,22,77,37,58
2025-11-28 13:56:05.847,68,4,57,4,84,30,68,9,7,54,44,82,3,69,52,65,36,6,81,41,38,19,12,22,82,26,30,75,54,57,34,15
2025-11-28 13:56:06.847,58,53,68,75,85,76,33,7,60,27,87,78,25,29,63,63,28,89,39,57,54,17,39,5,42,74,43,61,72,54,13,61
2025-11-28 13:56:07.848,25,74,64,27,75,91,30,87,40,41,68,80,48,75,52,48,58,54,89,13,22,6,87,38,33,19,39,9,73,64,60,87
2025-11-28 13:56:08.848,81,70,21,68,22,7,80,30,22,79,56,87,44,66,18,85,28,57,13,45,45,4,7,19,28,20,22,30,76,72,40,42
2025-11-28 13:56:09.848,50,1,38,76,49,82,60,69,89,78,48,66,90,75,36,89,17,11,54,35,23,46,18,42,43,30,34,83,85,69,19,71
2025-11-28 13:56:10.849,80,77,50,61,67,65,72,40,77,85,84,45,38,41,73,63,10,58,77,28,51,70,43,23,37,83,24,79,27,6,27,19
2025-11-28 13:56:11.849,48,74,33,13,88,56,38,85,53,63,85,57,80,44,62,56,57,18,78,67,88,62,14,59,8,12,70,30,43,63,81,10
2025-11-28 13:56:12.850,83,53,24,0,61,35,5,36,72,44,37,30,84,23,14,57,55,16,23,1,38,25,88,31,88,51,25,90,53,4,56,79
2025-11-28 13:56:13.851,56,63,83,81,13,73,27,7,20,64,17,50,88,77,7,9,3,84,71,16,46,18,50,6,26,33,54,11,57,58,35,70
2025-11-28 13:56:14.851,87,31,84,73,87,44,52,14,78,68,90,50,30,0,73,40,40,53,25,0,71,6,22,65,57,8,5,38,77,12,83,61
2025-11-28 13:56:15.852,68,58,64,40,79,43,19,12,57,38,62,15,61,0,53,52,6,21,22,80,41,53,82,61,87,68,89,7,57,15,75,23
2025-11-28 13:56:16.853,37,3,47,30,61,12,52,60,29,78,77,84,71,22,61,64,70,82,68,55,79,88,62,16,63,19,55,89,27,50,18,47
2025-11-28 13:56:17.853,24,33,43,12,74,41,67,80,45,71,73,58,47,93,68,12,39,25,35,1,22,73,26,81,68,41,48,33,62,6,18,56
2025-11-28 13:56:18.854,46,41,40,79,92,35,52,88,40,32,70,82,89,93,47,5,69,75,52,79,53,25,21,56,14,4,50,56,58,31,68,13
