Timestamp,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,Bin_28,Bin_29,Bin_30,Bin_31
2025-10-24 15:44:45.878,2,1,1,10,0,1,1,0,0,1,1,1,1,0,1,2,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0
2025-10-24 15:44:46.858,1,1,1,7,0,0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0
2025-10-24 15:44:47.883,-33,23,6,13,14,5,11,5,5,9,6,3,2,4,1,5,9,6,1,3,1,3,5,5,4,2,3,2,5,6,2,1
2025-10-24 15:44:48.843,1,1,1,8,1,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-10-24 15:44:49.865,1,1,1,7,2,1,1,1,1,1,2,1,1,0,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
2025-10-24 15:44:50.887,0,1,2,6,2,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
2025-10-24 15:44:51.846,1,1,1,7,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
2025-10-24 15:44:52.868,0,1,1,5,2,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,0,1,1,1,1,1,1,1,0,1,1,0
2025-10-24 15:44:53.890,2,0,0,8,2,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,2,1,0,1,1,1
2025-10-24 15:44:54.851,-16,16,16,6,11,6,1,2,5,6,7,5,4,2,1,3,3,3,4,4,1,2,1,2,3,4,4,3,0,1,2,3
2025-10-24 15:44:55.878,-74,5,5,43,6,5,7,1,2,13,11,9,11,5,2,5,6,7,4,10,3,1,3,4,3,10,5,3,2,2,3,7
2025-10-24 15:44:56.837,-80,1,8,45,6,2,2,2,10,17,10,2,5,3,5,5,9,3,4,5,5,2,11,3,2,7,4,6,5,2,2,5
2025-10-24 15:44:57.860,-75,3,3,42,7,5,6,2,1,12,10,9,8,7,3,2,9,8,5,12,6,3,5,7,1,14,4,3,2,3,1,7
2025-10-24 15:44:58.884,-16,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1
2025-10-24 15:44:59.847,-61,6,7,45,7,5,33,12,2,9,13,6,9,7,2,10,9,2,7,9,2,7,5,2,3,3,6,2,7,6,4,4
2025-10-24 15:45:00.872,-8,3,1,5,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,2,0,0,0,0,0,1,1,1,1,1,0,0
2025-10-24 15:45:01.831,-21,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
